,ring_id,dt,N,assigned_to
1,8,9/25/2017,51,JAM
2,6,6/10/2019,1,JAM
3,6,7/15/2019,48,JAM
4,4,9/5/2019,7,JAM
5,4,9/14/2019,1,YF
6,4,6/10/2019,22,YF
7,3,7/3/2019,1,YF
8,3,6/18/2019,2,YF
9,3,7/8/2019,1,
10,3,7/13/2019,67,
11,3,7/24/2019,11,
12,3,7/25/2019,51,
13,3,7/26/2019,226,
14,3,8/3/2019,33,
15,3,8/4/2019,134,
16,3,8/5/2019,52,
17,3,8/9/2019,16,
18,3,8/10/2019,283,
19,3,8/11/2019,270,
20,3,8/16/2019,1,
21,3,9/3/2019,4,
22,3,9/10/2019,46,
23,3,9/12/2019,8,
24,1,7/1/2019,8,
25,1,7/11/2019,49,
26,1,7/13/2019,85,
27,1,7/14/2019,22,
28,1,7/15/2019,1,
29,1,7/24/2019,34,
30,1,7/25/2019,1,
31,1,7/30/2019,27,
32,1,7/31/2019,3,
33,1,7/5/2019,2,
34,1,7/12/2019,3,
35,1,7/26/2019,12,
36,0,7/3/2019,1,
37,0,6/21/2019,1,
38,0,7/5/2019,1,
39,0,7/13/2019,37,
40,0,7/24/2019,3,
41,0,7/26/2019,21,
42,0,8/3/2019,24,
43,0,8/4/2019,16,
44,0,8/5/2019,33,
45,0,8/8/2019,3,
46,0,8/9/2019,19,
47,0,8/10/2019,221,
48,0,8/11/2019,163,
49,0,8/16/2019,17,
50,0,8/29/2019,6,
51,0,9/2/2019,22,
52,0,9/3/2019,86,
53,0,9/7/2019,6,
54,0,9/8/2019,2,
55,0,9/10/2019,103,
56,0,9/11/2019,3,
57,0,9/12/2019,24,
58,0,9/15/2019,1,
